Successful Private Members' Bills since 1983,,,,,,,,,,,,,,
[Note 1] [Note 2] [Note 3] [Note 4],,,,,,,,,,,,,,
Parliament number,Session number,Parliament,Session,Bill type,Title of bill as presented,Presented by,Presented by (sort name),MNIS Member ID,Member's party (1),Member's party (2),Member's constituency,Act title,Bill URL,Act URL
49,4,1983-87,1986-87  ,Ballot,Motor Cycle Noise Bill 1986/87,Robert Adley,"Adley, Robert",665,Conservative,[z],Christchurch,Motor Cycle Noise Act 1987,[x],https://www.legislation.gov.uk/ukpga/1987/34
49,4,1983-87,1986-87  ,Lords,Animals (Scotland) Bill (HL) 1986/87,Earl of Selkirk,"Selkirk, E.",2960,Conservative,[z],[z],Animals (Scotland) Act 1987,[x],https://www.legislation.gov.uk/ukpga/1987/9
49,4,1983-87,1986-87  ,Lords,Billiards (Abolition of Restrictions) Bill (HL) 1986/87,Lord Allen of Abbeydale,"Allen of Abbeydale, L.",3485,Crossbench,[z],[z],Billiards (Abolition of Restrictions) Act 1987,[x],[x]
49,4,1983-87,1986-87  ,Lords,Gaming (Amendment) Bill (HL) 1986/87,Lord Harris of Greenwich,"Harris of Greenwich, L.",2682,Social Democratic Party,[z],[z],Gaming (Amendment) Act 1987,[x],https://www.legislation.gov.uk/ukpga/1987/11
49,4,1983-87,1986-87  ,Lords,Licensing (Restaurant Meals) Bill (HL) 1986/87,Viscount Montgomery of Alamein,"Montgomery of Alamein, V.",1950,Conservative,[z],[z],Licensing (Restaurant Meals) Act 1987,[x],[x]
50,1,1987-92,1987-88  ,Presentation,"Horses, Ponies and Donkeys (No. 2) Bill 1987/88",David Amess,"Amess, David",44,Conservative,[z],Basildon,Protection against Cruel Tethering Act 1988,[x],https://www.legislation.gov.uk/ukpga/1988/31
50,1,1987-92,1987-88  ,Presentation,Solicitors (Scotland) Bill 1987/88,Alistair Darling,"Darling, Alistair",596,Labour,[z],Edinburgh Central,Solicitors (Scotland) Act 1988,[x],https://www.legislation.gov.uk/ukpga/1988/42
50,1,1987-92,1987-88  ,Ballot,Access to Medical Reports Bill 1987/88,Archy Kirkwood,"Kirkwood, Archy",635,Liberal ,[z],Roxburgh and Berwickshire,Access to Medical Reports Act 1988,[x],https://www.legislation.gov.uk/ukpga/1988/28
50,1,1987-92,1987-88  ,Ballot,Community Health Councils (Access to Information) Bill 1987/88,Andrew Faulds,"Faulds, Andrew",822,Labour,[z],Warley East,Community Health Councils (Access to Information) Act 1988,[x],https://www.legislation.gov.uk/ukpga/1988/24
50,1,1987-92,1987-88  ,Ballot,Consumer Arbitration Agreements Bill 1987/88,James Pawsey,"Pawsey, James",1258,Conservative,[z],Rugby and Kenilworth,Consumer Arbitration Agreements Act 1988,[x],https://www.legislation.gov.uk/ukpga/1988/21
50,1,1987-92,1987-88  ,Ballot,Environment and Safety Information Bill 1987/88,Chris Smith,"Smith, Chris",186,Labour,[z],Islington South and Finsbury ,Environment and Safety Information Act 1988,[x],https://www.legislation.gov.uk/ukpga/1988/30
50,1,1987-92,1987-88  ,Ballot,Licensing (Retail Sales) Bill 1987/88,Andrew Mackay,"Mackay, Andrew",7,Conservative,[z],East Berkshire,Licensing (Retail Sales) Act 1988,[x],https://www.legislation.gov.uk/ukpga/1988/25
50,1,1987-92,1987-88  ,Ballot,Malicious Communications Bill 1987/88,Andy Stewart,"Stewart, Andy",1293,Conservative,[z],Sherwood,Malicious Communications Act 1988,[x],https://www.legislation.gov.uk/ukpga/1988/27
50,1,1987-92,1987-88  ,Ballot,Motor Vehicles (Wearing of Rear Seat Belts by Children) Bill 1987/88,Stephen Day,"Day, Stephen",442,Conservative,[z],Cheadle,Motor Vehicles (Wearing of Rear Seat Belts by Children) Act 1988,[x],https://www.legislation.gov.uk/ukpga/1988/23
50,1,1987-92,1987-88  ,Ballot,Protection of Animals (Amendment) Bill 1987/88,John Browne,"Browne, John",1196,Conservative,[z],Winchester,Protection of Animals (Amendment) Act 1988,[x],https://www.legislation.gov.uk/ukpga/1988/29
50,1,1987-92,1987-88  ,Ballot,Scotch Whisky Bill 1987/88,Bill Walker,"Walker, Bill",1262,Conservative,[z],North Tayside,Scotch Whisky Act 1988,[x],https://www.legislation.gov.uk/ukpga/1988/22
50,1,1987-92,1987-88  ,Lords,Landlord and Tenant Bill (HL) 1987/88,Lord Coleraine,"Coleraine, L.",3408,Conservative,[z],[z],Landlord and Tenant Act 1988,[x],https://www.legislation.gov.uk/ukpga/1988/26
50,1,1987-92,1987-88  ,Lords,Land Registration Bill (HL) 1987/88,Lord Templeman,"Templeman, L.",1800,Crossbench,[z],[z],Land Registration Act 1988,[x],https://www.legislation.gov.uk/ukpga/1988/3
50,2,1987-92,1988-89,Presentation,Common Land (Rectification of Registers) Bill 1988/89,Anthony Favell,"Favell, Anthony",823,Conservative,[z],Stockport,Common Land (Rectification of Registers) Act 1989,[x],https://www.legislation.gov.uk/ukpga/1989/18
50,2,1987-92,1988-89,Presentation,Dangerous Dogs Bill 1988/89,Janet Fookes,"Fookes, Janet",830,Conservative,[z],"Plymouth, Drake",Dangerous Dogs Act 1989,[x],https://www.legislation.gov.uk/ukpga/1989/30
50,2,1987-92,1988-89,Ballot,Control of Pollution (Amendment) Bill 1988/89,Joan Ruddock,"Ruddock, Joan",190,Labour,[z],"Lewisham, Deptford",Control of Pollution (Amendment) Act 1989,[x],https://www.legislation.gov.uk/ukpga/1989/14
50,2,1987-92,1988-89,Ballot,Control of Smoke Pollution Bill 1988/89,Andrew Hunter,"Hunter, Andrew",48,Conservative,[z],Basingstoke,Control of Smoke Pollution Act 1989,[x],https://www.legislation.gov.uk/ukpga/1989/17
50,2,1987-92,1988-89,Ballot,Disabled Persons (Northern Ireland) Bill 1988/89,Martin Smyth,"Smyth, Martin",644,Ulster Unionist Party,[z],South Belfast,Disabled Persons (Northern Ireland) Act 1989,[x],https://www.legislation.gov.uk/ukpga/1989/10
